wrttimeid,seq,regi,population_tot,population_man,population_female,houshol
2008,1,계,49540367,24822897,24717470,19005339
2008,2,서울,10200827,5061809,5139018,4097562
2008,3,부산,3564577,1773154,1791423,1311724
2008,4,대구,2492724,1246873,1245851,894969
2008,5,인천,2692696,1356473,1336223,1014755
2008,6,광주,1422702,705817,716885,513021
2008,7,대전,1480895,741611,739284,531682
2008,8,울산,1112407,572815,539592,389735
2008,9,경기,11292264,5690673,5601591,4284475
2008,10,강원,1508575,759282,749293,606950
2008,11,충북,1519587,765398,754189,587411
2008,12,충남,2018537,1020317,998220,812871
2008,13,전북,1855772,924770,931002,710550
2008,14,전남,1919000,958491,960509,773087
2008,15,경북,2673931,1343199,1330732,1058099
2008,16,경남,3225255,1622127,1603128,1203767
2008,17,제주,560618,280088,280530,214681
2009,1,계,49773145,24929939,24843206,19261292
2009,2,서울,10208302,5059269,5149033,4116660
2009,3,부산,3543030,1761202,1781828,1323771
2009,4,대구,2489781,1243878,1245903,906470
2009,5,인천,2710579,1364809,1345770,1026936
2009,6,광주,1433640,711091,722549,524093
2009,7,대전,1484180,743121,741059,538100
2009,8,울산,1114866,573607,541259,394364
2009,9,경기,11460610,5773569,5687041,4359467
2009,10,강원,1512870,761270,751600,617693
2009,11,충북,1527478,769968,757510,599204
2009,12,충남,2037582,1029725,1007857,827846
2009,13,전북,1854508,924480,930028,720993
